ubicacion,cod,descripcion,ff,laboratorio,lote,fv,presentacion,stock_inicial,entrada,salida,stoc_actual,precio_venta,comentarios
M-2,P112,HELIOCARE 360° WATER GEL X 50 ML,GEL,CANTABRIA LABS,19A021,,UND,1,0,1,0, 102.00 ,
M-2,P113,HELIOCARE ADVANCE CREMA SPF 50 X 50 ML,CREMA,CANTABRIA LABS,,,UND,1,0,1,0, 80.00 ,
M-2,P114,HELIOCARE COLOR COMPACTO OIL-FREE LIGHT,FCO,CANTABRIA LABS,22B001A,,UND,9,0,9,0, 115.00 ,
,P115,HIDRISAGE LINTELLIGENCE SERUM X 40 ML,FCO,MEGA LABS LATAM,,,UND,1,0,1,0, 150.00 ,
V-2,P116,HYALU B5 AMPOLLAS X 12 GR,AMP,LA ROCHE POSAY,54U515,,CAJ X 7,4,0,4,0, 139.00 ,
V-2,P117,HYALU B5 OJOS CONTORNO DE OJOS X 15 ML,TBO,LA ROCHE POSAY,54WN03,,UND,1,0,1,0, 160.00 ,
V-2,P118,HYALU B5 SERUM DE OJOS X 15ML,FCO,LA ROCHE POSAY,54X42J,,UND,1,0,1,0, 128.00 ,
V-2,P119,HYALU B5 SERUM X 30 ML,FCO,LA ROCHE POSAY,54W02V/54X300,oct-25,UND,1,3,2,2, 202.90 ,
J,P120,HYNDRIAX 20 MG,CAPSULA,MEDIHEALTH,4F3478,jul-26,CAJ X 30,8,405,385,28, 186.00 ,
T,P121,IDO SAFE SOLUCION 10 % X 120 ML,SOLUCION,ROKER,,,UND,20,0,20,0, 11.00 ,
,P122,INMUNOFERON JUNIOR DEFENSES X 150 ML,JARABE,CANTABRIA LABS,,,UND,1,0,1,0, 189.90 ,
V-3,P123,ISDIN ERYFOTONA AK-NMSC FLUID X 50 ML,FLUIDO,ISDIN,31161F/32801F,abr-26,UND,10,18,25,3, 129.90 ,
V-3,P124,ISDIN FOOT CARE UREADIN PODOS GEL OIL HIDRATANTE X 75 ML,GEL,ISDIN,30381F,feb-26,UND,2,30,20,12, 89.90 ,
V-3,P125,ISDIN FOTO ULTRA AGE REPAIR FUSION WATER S/COLOR X 50 ML,TBO,ISDIN,230012/311412,oct-25,UND,16,22,26,12, 139.90 ,
V-3,P126,ISDIN FOTOPROTECTOR  COMPACT T: ARENA X 10 GR,POTE,ISDIN,228011,,UND,5,0,5,0, 122.90 ,
V-3,P127,ISDIN FOTOPROTECTOR  COMPACT T: BRONCE X 10 GR,POTE,ISDIN,218811,jul-25,UND,3,0,1,2, 124.90 ,
V-3,P128,ISDIN FOTOPROTECTOR FUSION GEL SPORT WET SKIN X 100 ML,GEL,ISDIN,223811,ago-25,UND,1,0,0,1, 134.90 ,
